"","year","id","c_name","name","life_period","center_lowest_pa","center_stronger_wind","strom_7_R","strom_10_R","warming_times","start_time","end_time"
"99",2015,201523,"±m¶³","CHOI-WAN",6,"970",30,200,50,0,2015-10-02 06:00:00,2015-10-08 06:00:00
"101",2015,201522,"±m­i","MUJIGAE",4,"945",43,180,50,0,2015-10-01 18:00:00,2015-10-05 00:00:00
"103",2015,201521,"§ùÃY","DUJUAN",7,"925",51,220,80,20,2015-09-22 18:00:00,2015-09-29 12:00:00
"105",2015,201520,"¬ìÃ¹©ô","KROVANH",5,"945",43,220,80,0,2015-09-15 18:00:00,2015-09-20 18:00:00
"107",2015,201519,"±ë°ª","VAMCO",2,"995",20,120,0,0,2015-09-13 18:00:00,2015-09-15 00:00:00
"109",2015,201518,"¦ã³³","ETAU",3,"990",23,120,0,0,2015-09-06 18:00:00,2015-09-09 12:00:00
"111",2015,201517,"©_Ã¹","KILO",10,"930",48,250,80,0,2015-09-01 00:00:00,2015-09-11 12:00:00
"113",2015,201516,"°{¹q","ATSANI",11,"925",51,220,80,0,2015-08-14 18:00:00,2015-08-25 12:00:00
"115",2015,201515,"¤ÑÃZ","GONI",12,"925",51,200,80,26,2015-08-14 18:00:00,2015-08-26 00:00:00
"117",2015,201514,"²ö©Ôµá","MOLAVE",7,"985",23,100,0,0,2015-08-07 12:00:00,2015-08-14 00:00:00
"119",2015,201513,"Ä¬­}°Ç","SOUDELOR",10,"900",58,300,100,24,2015-07-30 12:00:00,2015-08-09 12:00:00
"121",2015,201512,"«¢¬¥©Ô","HALOLA",13,"955",40,200,60,0,2015-07-13 00:00:00,2015-07-26 12:00:00
"123",2015,201511,"«n¥d","NANGKA",14,"910",55,250,80,0,2015-07-03 18:00:00,2015-07-17 18:00:00
"125",2015,201510,"½¬ªá","LINFA",8,"975",30,120,30,24,2015-07-02 12:00:00,2015-07-10 00:00:00
"127",2015,201509,"©÷ÂE","CHAN-HOM",13,"935",48,280,100,19,2015-06-30 12:00:00,2015-07-13 00:00:00
"129",2015,201508,"ÄH³½","KUJIRA",3,"988",23,100,0,0,2015-06-21 00:00:00,2015-06-24 18:00:00
"131",2015,201507,"¥Õ®ü³b","DOLPHIN",11,"925",51,250,100,0,2015-05-09 12:00:00,2015-05-20 18:00:00
"133",2015,201506,"¬õÁø","NOUL",9,"925",51,200,80,13,2015-05-03 18:00:00,2015-05-12 12:00:00
"135",2015,201505,"®ü¯«","HAISHEN",2,"998",18,100,0,0,2015-04-04 06:00:00,2015-04-06 00:00:00
"137",2015,201504,"±ö¨F","MAYSAK",9,"905",58,250,80,0,2015-03-27 18:00:00,2015-04-05 06:00:00
"139",2015,201503,"¤Ú«Â","BAVI",6,"988",23,120,0,0,2015-03-11 18:00:00,2015-03-17 18:00:00
"141",2015,201502,"µLªáªG","HIGOS",4,"935",48,180,50,0,2015-02-07 18:00:00,2015-02-11 18:00:00
"143",2015,201501,"¦Ì§J©Ô","MEKKHALA",6,"970",38,250,100,0,2015-01-14 06:00:00,2015-01-20 06:00:00
"145",2014,201423,"Á¥»e","JANGMI",2,"995",20,120,0,0,2014-12-29 00:00:00,2014-12-31 12:00:00
"147",2014,201422,"«¢®æ¤ñ","HAGUPIT",10,"905",58,250,80,0,2014-12-01 06:00:00,2014-12-11 12:00:00
"149",2014,201421,"¨¯¼Ö§J","SINLAKU",2,"992",23,100,0,0,2014-11-28 00:00:00,2014-11-30 06:00:00
"151",2014,201420,"ÆxÄM","NURI",7,"910",55,250,100,0,2014-10-31 06:00:00,2014-11-07 00:00:00
"153",2014,201419,"¶À¸Á","VONGFONG",11,"900",58,250,100,0,2014-10-03 06:00:00,2014-10-14 00:00:00
"155",2014,201418,"¤Ú³{","PHANFONE",7,"935",48,250,100,0,2014-09-29 06:00:00,2014-10-06 06:00:00
"157",2014,201417,"¥_°Ã","KAMMURI",6,"985",25,150,0,0,2014-09-24 12:00:00,2014-09-30 00:00:00
"159",2014,201416,"»ñ°Ä","FUNG-WONG",7,"985",25,150,0,25,2014-09-17 18:00:00,2014-09-24 00:00:00
"161",2014,201415,"®üÅÃ","KALMAEGI",5,"965",35,150,50,0,2014-09-12 06:00:00,2014-09-17 12:00:00
"163",2014,201414,"­·¯«","FENGSHEN",3,"980",30,120,50,0,2014-09-07 00:00:00,2014-09-10 06:00:00
"165",2014,201413,"ª÷®RÁ¨","GENEVIEVE",5,"910",55,200,80,0,2014-08-07 06:00:00,2014-08-12 06:00:00
"167",2014,201412,"®R§J²ú","NAKRI",5,"980",28,150,0,0,2014-07-29 18:00:00,2014-08-03 18:00:00
"169",2014,201411,"«¢¶©","HALONG",13,"915",53,220,80,0,2014-07-29 06:00:00,2014-08-11 00:00:00
"171",2014,201410,"³Á¼w©i","MATMO",8,"960",38,200,80,19,2014-07-17 18:00:00,2014-07-25 06:00:00
"173",2014,201409,"¹p°¨»¹","RAMMASUN",8,"925",51,180,60,0,2014-07-12 06:00:00,2014-07-20 00:00:00
"175",2014,201408,"ÒFºµ","NEOGURI",7,"930",51,250,100,0,2014-07-04 00:00:00,2014-07-11 00:00:00
"177",2014,201407,"«¢¦N¨©","HAGIBIS",3,"992",20,100,0,7,2014-06-14 06:00:00,2014-06-17 18:00:00
"179",2014,201406,"¦Ì¶ð","MITAG",1,"995",20,100,0,0,2014-06-11 06:00:00,2014-06-12 00:00:00
"181",2014,201405,"¶ð¤Ú","TAPAH",3,"970",33,150,50,0,2014-04-28 00:00:00,2014-05-01 12:00:00
"183",2014,201404,"µ\µ]","PEIPAH",4,"995",20,80,0,0,2014-04-05 00:00:00,2014-04-09 06:00:00
"185",2014,201403,"ªk¦è","FAXAI",5,"965",35,200,50,0,2014-02-28 12:00:00,2014-03-05 18:00:00
"187",2014,201402,"¼C³½","KAJIKI",1,"998",18,100,0,0,2014-01-31 00:00:00,2014-02-01 12:00:00
"189",2014,201401,"¬Â¬Â","LINGLING",1,"1000",18,100,0,0,2014-01-18 00:00:00,2014-01-19 18:00:00
"191",2013,201331,"·¨¬h","PODUL",1,"998",18,100,0,0,2013-11-14 12:00:00,2013-11-15 00:00:00
"193",2013,201330,"®ü¿P","HAIYAN",7,"895",63,280,100,0,2013-11-04 00:00:00,2013-11-11 12:00:00
"195",2013,201329,"¬ìÃ¹²ï","KROSA",6,"940",45,200,80,0,2013-10-29 18:00:00,2013-11-04 12:00:00
"197",2013,201328,"§Q©_°¨","LEKIMA",6,"905",58,250,80,0,2013-10-20 18:00:00,2013-10-26 12:00:00
"199",2013,201327,"­S´µ°ª","FRANCISCO",10,"915",55,250,80,0,2013-10-16 12:00:00,2013-10-26 00:00:00
"201",2013,201326,"Á¨©¬","WIPHA",6,"935",48,300,100,0,2013-10-10 18:00:00,2013-10-16 06:00:00
"203",2013,201325,"¦Ê¦X","NARI",6,"960",40,200,80,0,2013-10-09 12:00:00,2013-10-15 12:00:00
"205",2013,201324,"¤¦®Rµ·","DANAS",4,"930",51,250,100,0,2013-10-04 06:00:00,2013-10-08 18:00:00
"207",2013,201323,"µá¯S","FITOW",7,"960",38,250,80,20,2013-09-30 12:00:00,2013-10-07 06:00:00
"209",2013,201322,"¸t©¬","SEPAT",2,"995",20,100,0,0,2013-09-30 00:00:00,2013-10-02 12:00:00
"211",2013,201321,"½¹½º","WUTIP",4,"965",35,150,50,0,2013-09-27 06:00:00,2013-10-01 00:00:00
"213",2013,201320,"©¬¥¬","PABUK",6,"970",33,150,50,0,2013-09-21 06:00:00,2013-09-27 00:00:00
"215",2013,201319,"¤Ñ¨ß","USAGI",7,"910",55,280,150,22,2013-09-16 18:00:00,2013-09-23 06:00:00
"217",2013,201318,"¸U©y","MAN-YI",3,"980",28,180,0,0,2013-09-13 00:00:00,2013-09-16 12:00:00
"219",2013,201317,"®Ü±ð","TORAJI",3,"992",23,100,0,0,2013-09-01 18:00:00,2013-09-04 00:00:00
"221",2013,201316,"¥É¨ß","YUTU",3,"998",18,100,0,0,2013-09-01 00:00:00,2013-09-04 00:00:00
"223",2013,201315,"±dÍº","KONG-REY",4,"985",25,120,0,20,2013-08-26 06:00:00,2013-08-30 18:00:00
"225",2013,201314,"¤×®R©Ô","UNALA",0,"1002",18,100,0,0,2013-08-19 12:00:00,2013-08-19 18:00:00
"227",2013,201313,"¥Ö¥Ë","PEWA",7,"980",28,120,0,0,2013-08-18 06:00:00,2013-08-25 12:00:00
"229",2013,201312,"¼æ¬ü","TRAMI",4,"970",30,180,50,16,2013-08-18 00:00:00,2013-08-22 18:00:00
"231",2013,201311,"¤×¯S","UTOR",6,"925",51,220,80,0,2013-08-09 18:00:00,2013-08-15 12:00:00
"233",2013,201310,"¤s¦Ë","MANGKHUT",2,"995",20,150,0,0,2013-08-06 12:00:00,2013-08-08 00:00:00
"235",2013,201309,"¿P¤l","JEBI",3,"980",28,180,0,0,2013-07-31 00:00:00,2013-08-03 12:00:00
"237",2013,201308,"¦è°¨¶©","CIMARON",1,"998",18,100,0,10,2013-07-17 00:00:00,2013-07-18 18:00:00
"239",2013,201307,"Ä¬¤O","SOULIK",6,"925",51,280,100,22,2013-07-08 00:00:00,2013-07-14 00:00:00
"241",2013,201306,"­Û¤ñ¨È","RUMBIA",4,"980",28,150,0,0,2013-06-28 12:00:00,2013-07-02 12:00:00
"243",2013,201305,"¨©ºÑ¨Î","BEBINCA",3,"985",23,100,0,0,2013-06-21 00:00:00,2013-06-24 06:00:00
"245",2013,201304,"ÄRµ]","LEEPI",3,"992",20,100,0,0,2013-06-18 00:00:00,2013-06-21 00:00:00
"247",2013,201303,"¶®¦N","YAGI",4,"990",23,100,0,0,2013-06-08 12:00:00,2013-06-12 18:00:00
"249",2013,201302,"¬À¬À","SHANSHAN",1,"998",18,80,0,0,2013-02-22 00:00:00,2013-02-23 06:00:00
"251",2013,201301,"Ä¬¯Ç©i","SONAMU",5,"985",25,100,0,0,2013-01-03 12:00:00,2013-01-08 00:00:00
"253",2012,201225,"®©ªÅ","WUKONG",4,"995",20,100,0,0,2012-12-24 18:00:00,2012-12-28 06:00:00
"255",2012,201224,"Ä_µo","BOPHA",13,"925",51,150,50,0,2012-11-26 18:00:00,2012-12-09 06:00:00
"257",2012,201223,"¤s§Ê","SON-TINH",6,"945",43,200,80,0,2012-10-23 18:00:00,2012-10-29 06:00:00
"259",2012,201222,"º¿²ú¨È","MARIA",4,"985",25,100,0,0,2012-10-14 12:00:00,2012-10-18 18:00:00
"261",2012,201221,"¤Ú¤ñ¨Ú","PRAPIROON",12,"940",45,250,80,0,2012-10-07 12:00:00,2012-10-19 12:00:00
"263",2012,201220,"³Í¦Ì","GAEMI",5,"990",23,100,0,0,2012-10-01 12:00:00,2012-10-06 12:00:00
"265",2012,201219,"°¨¤O´µ","MALIKSI",3,"985",25,150,0,0,2012-10-01 06:00:00,2012-10-04 06:00:00
"267",2012,201218,"¦ãºû¥§","EWINIAR",6,"985",25,150,0,0,2012-09-24 12:00:00,2012-09-30 00:00:00
"269",2012,201217,"ªN©ÔµØ","JELAWAT",11,"910",55,250,100,15,2012-09-20 18:00:00,2012-10-01 12:00:00
"271",2012,201216,"¤T¤Ú","SANBA",7,"910",55,220,80,0,2012-09-11 00:00:00,2012-09-18 00:00:00
"273",2012,201215,"¥¬©Ô¸U","BOLAVEN",8,"925",51,300,100,0,2012-08-20 06:00:00,2012-08-28 18:00:00
"275",2012,201214,"¤Ñ¯¯","TEMBIN",11,"945",45,180,50,21,2012-08-19 00:00:00,2012-08-30 12:00:00
"277",2012,201213,"±Ò¼w","KAI-TAK",5,"975",30,180,50,10,2012-08-13 00:00:00,2012-08-18 06:00:00
"279",2012,201212,"©_¬¥°ò","KIROGI",2,"993",20,100,0,0,2012-08-08 00:00:00,2012-08-10 00:00:00
"281",2012,201211,"®ü¸ª","HAIKUI",6,"960",35,180,50,11,2012-08-03 00:00:00,2012-08-09 06:00:00
"283",2012,201210,"¤¦·ç","DAMREY",6,"965",35,120,50,0,2012-07-28 18:00:00,2012-08-03 06:00:00
"285",2012,201209,"Ä¬©Ô","SAOLA",6,"960",38,220,80,31,2012-07-28 00:00:00,2012-08-03 12:00:00
"287",2012,201208,"­³´Ë¯S","VICENTE",3,"950",40,200,100,0,2012-07-21 12:00:00,2012-07-24 18:00:00
"289",2012,201207,"¥d§V","KHANUN",2,"992",23,100,0,0,2012-07-16 06:00:00,2012-07-18 18:00:00
"291",2012,201206,"§ùÄ¬Íº","DOKSURI",4,"995",23,120,0,10,2012-06-26 12:00:00,2012-06-30 00:00:00
"293",2012,201205,"®õ§Q","TALIM",3,"985",25,150,0,17,2012-06-17 18:00:00,2012-06-20 21:00:00
"295",2012,201204,"¨¦¶W","GUCHOL",8,"935",51,200,100,0,2012-06-12 06:00:00,2012-06-20 00:00:00
"297",2012,201203,"º¿«½","MAWAR",5,"960",38,250,80,0,2012-06-01 06:00:00,2012-06-06 06:00:00
"299",2012,201202,"¬À·ä","SANVU",6,"975",30,200,80,0,2012-05-22 00:00:00,2012-05-28 00:00:00
"301",2012,201201,"©¬¥d","PAKHAR",4,"985",25,150,0,0,2012-03-29 00:00:00,2012-04-02 00:00:00
"303",2011,201121,"¥Ë¦è","WASHI",4,"992",23,120,0,0,2011-12-15 06:00:00,2011-12-19 12:00:00
"305",2011,201120,"¯Z«Û","BANYAN",1,"998",18,100,0,0,2011-10-11 06:00:00,2011-10-12 18:00:00
"307",2011,201119,"©`®æ","NALGAE",8,"935",48,180,50,0,2011-09-27 18:00:00,2011-10-05 00:00:00
"309",2011,201118,"®ü´Å","HAITANG",2,"995",18,100,0,0,2011-09-25 00:00:00,2011-09-27 00:00:00
"311",2011,201117,"¥§²ï","NESAT",7,"955",40,220,80,0,2011-09-24 00:00:00,2011-10-01 00:00:00
"313",2011,201116,"®á¥d","SONCA",5,"965",35,150,50,0,2011-09-15 06:00:00,2011-09-20 12:00:00
"315",2011,201115,"¬¥§J","ROKE",9,"940",45,180,50,0,2011-09-13 12:00:00,2011-09-22 00:00:00
"317",2011,201114,"®w©Ô","KULAP",2,"995",20,80,0,0,2011-09-07 06:00:00,2011-09-09 00:00:00
"319",2011,201113,"¿Õ¿c","NORU",2,"994",20,200,0,0,2011-09-04 06:00:00,2011-09-06 12:00:00
"321",2011,201112,"¶ð©Ô´µ","TALAS",11,"970",33,200,80,0,2011-08-25 00:00:00,2011-09-05 00:00:00
"323",2011,201111,"«nº¿³£","NANMADOL",8,"920",53,180,50,34,2011-08-23 12:00:00,2011-08-31 00:00:00
"325",2011,201110,"²ö¬f","MERBOK",6,"980",28,200,0,0,2011-08-03 06:00:00,2011-08-09 18:00:00
"327",2011,201109,"±öªá","MUIFA",12,"928",50,280,100,15,2011-07-28 06:00:00,2011-08-09 00:00:00
"329",2011,201108,"¯Ç©Z","NOCK-TEN",5,"984",25,120,0,0,2011-07-26 00:00:00,2011-07-31 00:00:00
"331",2011,201107,"³³¥d°ò","TOKAGE",1,"998",18,80,0,0,2011-07-15 06:00:00,2011-07-16 00:00:00
"333",2011,201106,"°¨¾b","MA-ON",10,"930",51,300,100,0,2011-07-12 06:00:00,2011-07-22 18:00:00
"335",2011,201105,"¦Ì¹p","MEARI",5,"980",28,200,0,14,2011-06-22 00:00:00,2011-06-27 00:00:00
"337",2011,201104,"®ü°¨","HAIMA",4,"988",23,150,0,0,2011-06-21 06:00:00,2011-06-25 00:00:00
"339",2011,201103,"²ï²ú¨Î","SARIKA",2,"998",18,80,0,0,2011-06-09 18:00:00,2011-06-11 00:00:00
"341",2011,201102,"®á¹F","SONGDA",8,"920",55,220,100,13,2011-05-21 18:00:00,2011-05-29 06:00:00
"343",2011,201101,"¦ã§Q","AERE",4,"990",23,150,0,13,2011-05-07 06:00:00,2011-05-11 18:00:00
"345",2010,201014,"¨ÎªÝ","CHABA",6,"940",45,220,80,0,2010-10-24 12:00:00,2010-10-30 18:00:00
"347",2010,201013,"±ö®V","MEGI",10,"895",65,280,100,24,2010-10-13 12:00:00,2010-10-23 18:00:00
"349",2010,201012,"°¨°Ç¥d","MALAKAS",4,"958",38,250,100,0,2010-09-21 06:00:00,2010-09-25 18:00:00
"351",2010,201011,"¤Z¨º¤ñ","FANAPI",5,"940",45,200,80,22,2010-09-15 12:00:00,2010-09-20 18:00:00
"353",2010,201010,"²öÄõ¸¦","MERANTI",1,"990",23,100,0,10,2010-09-09 00:00:00,2010-09-10 12:00:00
"355",2010,201009,"º¿·ê","MALOU",5,"985",23,120,0,0,2010-09-03 06:00:00,2010-09-08 06:00:00
"357",2010,201008,"«n­×","NAMTHEUN",1,"995",18,80,0,9,2010-08-30 12:00:00,2010-08-31 12:00:00
"359",2010,201007,"±d§B´µ","KOMPASU",4,"960",40,150,50,0,2010-08-29 12:00:00,2010-09-02 18:00:00
"361",2010,201006,"µÜÃ¹§J","LIONROCK",5,"985",25,100,0,15,2010-08-28 18:00:00,2010-09-02 12:00:00
"363",2010,201005,"±Ó·þ§Q","MINDULLE",2,"985",25,180,0,0,2010-08-23 00:00:00,2010-08-25 00:00:00
"365",2010,201004,"¹q¥À","DIANMU",4,"980",28,150,0,0,2010-08-08 12:00:00,2010-08-12 00:00:00
"367",2010,201003,"Àö¾ð","CHANTHU",4,"965",35,150,50,0,2010-07-19 12:00:00,2010-07-23 06:00:00
"369",2010,201002,"±d´Ë","CONSON",5,"965",35,150,50,0,2010-07-12 00:00:00,2010-07-17 18:00:00
"371",2010,201001,"¶ø³Á´µ","OMAIS",2,"998",18,100,0,0,2010-03-24 12:00:00,2010-03-26 06:00:00
"373",2009,200922,"©gÌH","NIDA",10,"910",58,250,100,0,2009-11-23 12:00:00,2009-12-03 00:00:00
"375",2009,200921,"¦Ì·ç¤º","MIRINAE",6,"955",40,200,50,0,2009-10-27 06:00:00,2009-11-02 18:00:00
"377",2009,200920,"¿cºÑ","LUPIT",11,"925",51,300,100,0,2009-10-15 18:00:00,2009-10-26 18:00:00
"379",2009,200919,"¥§§B¯S","NEPARTAK",4,"992",23,120,0,0,2009-10-09 06:00:00,2009-10-13 18:00:00
"381",2009,200918,"¦Ì°Ç","MELOR",9,"910",58,300,100,0,2009-09-29 12:00:00,2009-10-08 18:00:00
"383",2009,200917,"ªÝº¿","PARMA",15,"920",53,250,80,29,2009-09-29 00:00:00,2009-10-14 12:00:00
"385",2009,200916,"³Í²ï®R","KETSANA",4,"960",38,200,50,0,2009-09-26 00:00:00,2009-09-30 06:00:00
"387",2009,200915,"¬_´¶","KOPPU",2,"970",35,200,50,0,2009-09-13 18:00:00,2009-09-15 18:00:00
"389",2009,200914,"±m¶³","CHOI-WAN",8,"915",55,250,100,0,2009-09-12 18:00:00,2009-09-20 12:00:00
"391",2009,200913,"²ö¦Nµ¹","MUJIGAE",2,"995",20,100,0,0,2009-09-10 00:00:00,2009-09-12 00:00:00
"393",2009,200912,"§ùÃY","DUJUAN",7,"980",28,150,0,0,2009-09-03 18:00:00,2009-09-10 00:00:00
"395",2009,200911,"¬ìÃ¹©ô","KROVANH",4,"975",30,200,50,0,2009-08-28 12:00:00,2009-09-01 12:00:00
"397",2009,200910,"±ë°ª","VAMCO",9,"920",53,200,50,0,2009-08-17 18:00:00,2009-08-26 00:00:00
"399",2009,200909,"¦ã³³","ETAU",4,"985",25,120,0,0,2009-08-09 12:00:00,2009-08-13 06:00:00
"401",2009,200908,"²ö©Ô§J","MORAKOT",7,"955",40,250,100,36,2009-08-03 00:00:00,2009-08-10 18:00:00
"403",2009,200907,"¬_¥§","GONI",3,"988",18,100,0,0,2009-08-03 12:00:00,2009-08-06 06:00:00
"405",2009,200906,"²ö©Ôµá","MOLAVE",3,"978",30,100,30,13,2009-07-16 12:00:00,2009-07-19 06:00:00
"407",2009,200905,"Ä¬­}°Ç","SOUDELOR",1,"996",18,100,0,0,2009-07-11 06:00:00,2009-07-12 12:00:00
"409",2009,200904,"«n¥d","NANGKA",3,"991",23,100,0,0,2009-06-23 06:00:00,2009-06-26 18:00:00
"411",2009,200903,"½¬ªá","LINFA",4,"980",28,150,0,21,2009-06-18 06:00:00,2009-06-22 00:00:00
"413",2009,200902,"©÷ÂE","CHAN-HOM",6,"965",35,150,50,0,2009-05-03 12:00:00,2009-05-09 00:00:00
"415",2009,200901,"¬_¦N©Ô","KUJIRA",4,"940",45,200,80,0,2009-05-03 00:00:00,2009-05-07 12:00:00
"417",2008,200822,"¦hº¸ªâ","DOLPHIN",6,"968",33,200,80,0,2008-12-12 06:00:00,2008-12-18 12:00:00
"419",2008,200821,"¿Õº¸","NOUL",1,"997",18,100,0,0,2008-11-16 06:00:00,2008-11-17 12:00:00
"421",2008,200820,"®ü¯«","HAISHEN",2,"998",18,100,0,0,2008-11-15 18:00:00,2008-11-17 00:00:00
"423",2008,200819,"±ö²ï","MAYSAK",2,"985",25,100,0,0,2008-11-07 06:00:00,2008-11-09 12:00:00
"425",2008,200818,"¤Ú«Â","BAVI",1,"995",20,100,0,0,2008-10-19 06:00:00,2008-10-20 06:00:00
"427",2008,200817,"®ü°ª´µ","HIGOS",4,"998",18,100,0,0,2008-09-30 00:00:00,2008-10-04 00:00:00
"429",2008,200816,"¦Ì§J©Ô","MEKKHALA",1,"990",23,120,0,0,2008-09-29 00:00:00,2008-09-30 12:00:00
"431",2008,200815,"Á¥»e","JANGMI",7,"925",53,280,100,25,2008-09-24 12:00:00,2008-10-01 00:00:00
"433",2008,200814,"«¢®æ¤ñ","HAGUPIT",6,"940",45,280,100,15,2008-09-19 12:00:00,2008-09-25 00:00:00
