"","year","id","c_name","name","life_period","center_lowest_pa","center_stronger_wind","strom_7_R","strom_10_R","warming_times","start_time","end_time"
"1",2017,201719,"§ùÄ¬Íº","DOKSURI",4,"955",40,180,60,0,2017-09-12 12:00:00,2017-09-16 00:00:00
"3",2017,201718,"®õ§Q","TALIM",9,"935",48,250,80,0,2017-09-09 12:00:00,2017-09-18 12:00:00
"5",2017,201717,"¨¦¶W","GUCHOL",0,"998",18,80,0,7,2017-09-06 00:00:00,2017-09-06 18:00:00
"7",2017,201716,"º¿«½","MAWAR",4,"988",25,120,0,0,2017-08-31 18:00:00,2017-09-04 00:00:00
"9",2017,201715,"¬À·ä","SANVU",6,"960",38,250,100,0,2017-08-28 06:00:00,2017-09-03 06:00:00
"11",2017,201714,"©¬¥d","PAKHAR",3,"975",30,150,0,0,2017-08-24 18:00:00,2017-08-27 18:00:00
"13",2017,201713,"¤ÑÂF","HATO",4,"955",40,180,50,15,2017-08-20 06:00:00,2017-08-24 06:00:00
"15",2017,201712,"º_¾ð","BANYAN",6,"960",38,150,50,0,2017-08-11 12:00:00,2017-08-17 00:00:00
"17",2017,201711,"©`®æ","NALGAE",3,"992",23,100,0,0,2017-08-02 00:00:00,2017-08-05 18:00:00
"19",2017,201710,"®ü´Å","HAITANG",2,"990",20,100,0,14,2017-07-29 09:00:00,2017-07-31 06:00:00
"21",2017,201709,"¥§²ï","NESAT",4,"955",40,180,60,19,2017-07-26 06:00:00,2017-07-30 12:00:00
"23",2017,201708,"®á¥d","SONCA",2,"998",18,80,0,0,2017-07-23 06:00:00,2017-07-25 12:00:00
"25",2017,201707,"¬¥§J","ROKE",1,"1000",18,80,0,0,2017-07-22 06:00:00,2017-07-23 06:00:00
"27",2017,201706,"®w©Ô","KULAP",4,"985",25,100,0,0,2017-07-21 06:00:00,2017-07-25 12:00:00
"29",2017,201705,"¿Õ¿c","NORU",18,"925",51,220,70,0,2017-07-21 00:00:00,2017-08-08 12:00:00
"31",2017,201704,"¶ð©Ô´µ","TALAS",2,"990",23,100,0,0,2017-07-15 06:00:00,2017-07-17 12:00:00
"33",2017,201703,"«nº¿³£","NANMADOL",3,"985",25,120,0,0,2017-07-02 00:00:00,2017-07-05 00:00:00
"35",2017,201702,"²ö¬f","MERBOK",2,"990",23,80,0,0,2017-06-11 06:00:00,2017-06-13 00:00:00
"37",2017,201701,"±öªá","MUIFA",1,"998",18,100,0,0,2017-04-26 00:00:00,2017-04-27 12:00:00
"39",2016,201626,"¯Ç©Z","NOCK-TEN",6,"910",55,180,70,0,2016-12-21 18:00:00,2016-12-27 18:00:00
"41",2016,201625,"ÃÈªê","TOKAGE",3,"990",23,100,0,0,2016-11-25 00:00:00,2016-11-28 00:00:00
"43",2016,201624,"°¨¾b","MA-ON",2,"998",18,80,0,0,2016-11-10 06:00:00,2016-11-12 06:00:00
"45",2016,201623,"¦Ì¹p","MEARI",4,"955",40,180,50,0,2016-11-03 00:00:00,2016-11-07 12:00:00
"47",2016,201622,"®ü°¨","HAIMA",6,"905",58,280,100,0,2016-10-15 00:00:00,2016-10-21 18:00:00
"49",2016,201621,"²ï²ú¨Î","SARIKA",6,"930",48,220,80,0,2016-10-13 12:00:00,2016-10-19 12:00:00
"51",2016,201620,"®á¹F","SONGDA",5,"930",48,200,80,0,2016-10-08 12:00:00,2016-10-13 06:00:00
"53",2016,201619,"¦ã§Q","AERE",5,"978",30,120,50,10,2016-10-05 00:00:00,2016-10-10 00:00:00
"55",2016,201618,"ªÜ»T","CHABA",8,"910",55,200,80,0,2016-09-27 18:00:00,2016-10-05 12:00:00
"57",2016,201617,"±ö®V","MEGI",5,"940",45,250,100,23,2016-09-23 00:00:00,2016-09-28 12:00:00
"59",2016,201616,"°¨°Ç¥d","MALAKAS",8,"940",45,180,60,20,2016-09-12 18:00:00,2016-09-20 12:00:00
"61",2016,201615,"¹p¥ì","RAI",1,"998",18,80,0,0,2016-09-12 18:00:00,2016-09-13 06:00:00
"63",2016,201614,"²öÄõ¸¦","MERANTI",5,"900",60,220,80,21,2016-09-10 06:00:00,2016-09-15 06:00:00
"65",2016,201613,"º¿·ê","MALOU",1,"998",18,100,0,0,2016-09-06 00:00:00,2016-09-07 18:00:00
"67",2016,201612,"«n­×","NAMTHEUN",4,"950",43,150,50,0,2016-09-01 00:00:00,2016-09-05 00:00:00
"69",2016,201611,"¶ê³W","KOMPASU",1,"995",18,150,0,0,2016-08-20 00:00:00,2016-08-21 18:00:00
"71",2016,201610,"·à¤l¤s","LIONROCK",11,"938",45,250,80,0,2016-08-19 12:00:00,2016-08-30 18:00:00
"73",2016,201609,"»Z¤½­^","MINDULLE",4,"975",33,180,60,0,2016-08-19 06:00:00,2016-08-23 06:00:00
"75",2016,201608,"¹q¥À","DIANMU",1,"980",23,120,0,0,2016-08-18 00:00:00,2016-08-19 12:00:00
"77",2016,201607,"Àö¾ð","CHANTHU",4,"980",25,150,0,0,2016-08-13 18:00:00,2016-08-17 12:00:00
"79",2016,201606,"±d´Ë","CONSON",7,"985",25,150,0,0,2016-08-08 18:00:00,2016-08-15 00:00:00
"81",2016,201605,"¶ø³Á´µ","OMAIS",5,"975",30,250,80,0,2016-08-04 06:00:00,2016-08-09 18:00:00
"83",2016,201604,"©gÌH","NIDA",4,"972",33,150,50,0,2016-07-30 12:00:00,2016-08-03 00:00:00
"85",2016,201603,"»Èªe","MIRINAE",2,"985",25,100,0,0,2016-07-26 06:00:00,2016-07-28 12:00:00
"87",2016,201602,"¿cºÑ","LUPIT",1,"998",18,100,0,0,2016-07-23 18:00:00,2016-07-24 18:00:00
"89",2016,201601,"¥§§B¯S","NEPARTAK",6,"905",58,200,80,25,2016-07-03 00:00:00,2016-07-09 06:00:00
"91",2015,201527,"­[²ú","MELOR",6,"945",43,180,50,0,2015-12-11 06:00:00,2015-12-17 00:00:00
"93",2015,201526,"?ªá","IN-FA",9,"929",48,180,50,0,2015-11-17 12:00:00,2015-11-26 00:00:00
"95",2015,201525,"Á¥µ\","CHAMPI",12,"930",48,250,80,0,2015-10-13 18:00:00,2015-10-25 12:00:00
"97",2015,201524,"¥¨Àï","KOPPU",8,"925",51,200,70,0,2015-10-13 12:00:00,2015-10-21 00:00:00
